driverId,week,hours-logged,miles-logged
49,50,51,900
109,34,61,3700
24,50,61,800
104,3,56,2700
58,28,74,100
33,10,75,3200
104,52,79,3300
97,28,72,1400
53,29,62,3800
97,2,78,800
15,30,58,3200
76,28,63,2300
90,45,75,2100
42,16,78,2600
22,34,65,3600
85,7,72,2700
89,4,63,1500
50,4,62,3000
45,13,66,900
21,39,61,3300
56,6,73,1800
41,51,53,1200
63,3,60,2200
23,45,77,3300
108,40,54,3600
70,19,61,1800
72,41,58,1200
51,48,62,3100
73,17,51,600
51,9,51,900
11,9,74,3600
29,34,72,100
89,17,72,3900
39,14,78,1900
76,34,54,3900
109,1,55,500
51,1,78,1600
107,41,67,2300
27,27,66,1300
18,36,58,2300
70,16,55,2800
106,15,56,3200
82,10,62,2000
12,25,67,3000
64,21,56,2200
97,19,69,1600
67,17,64,200
78,21,70,3700
89,49,80,2700
52,32,80,800
20,37,66,3100
88,35,63,3600
29,45,80,3700
87,6,75,700
12,7,76,3100
97,3,55,2200
10,16,72,0
23,37,57,1100
91,20,56,1100
50,35,80,2400
45,37,63,100
42,22,77,2600
13,14,52,1700
101,46,51,3700
40,3,67,400
98,46,65,2000
108,32,76,2400
46,16,53,2800
72,26,55,3500
99,37,80,1700
40,20,52,3800
98,30,51,1700
68,12,70,1300
58,34,57,2300
24,29,55,2100
54,37,75,3100
87,52,76,2000
16,27,64,3000
52,51,51,1000
81,48,58,3500
83,2,65,2300
50,30,56,500
50,36,55,2800
96,5,63,1600
98,31,64,1100
15,48,51,700
107,24,64,1600
16,41,70,2900
75,3,50,200
55,19,70,1000
46,8,59,1000
98,44,80,3700
80,36,58,1900
61,34,61,1000
60,49,68,2600
18,17,60,1100
46,45,61,3900
106,52,65,1100
24,37,62,1600
89,42,73,2700
102,11,59,400
11,44,80,3100
75,7,76,800
76,18,60,3400
46,6,73,2600
59,16,52,3500
15,35,74,3700
101,49,63,3600
102,39,76,2300
63,52,79,2600
16,12,59,2600
11,22,52,700
70,27,50,1200
24,47,75,2100
72,14,80,1100
73,4,52,1600
27,5,59,2700
40,6,68,0
101,33,59,3500
63,35,63,2600
101,1,59,1000
85,10,71,2500
82,50,50,2100
87,15,61,2100
40,7,62,1300
23,25,77,2700
102,6,65,3500
68,21,80,2400
62,21,62,1000
72,36,50,600
104,17,50,1400
73,14,76,600
65,33,76,4000
71,3,60,2000
27,24,57,700
56,1,74,600
76,26,52,3800
109,15,57,3900
30,1,71,1500
86,35,58,2400
95,14,80,2600
84,33,60,1700
20,34,52,2600
107,46,53,3000
81,48,66,400
30,29,60,400
42,51,54,2200
43,17,59,1900
47,6,75,700
89,3,72,2900
76,52,71,1200
49,20,64,100
53,46,54,300
106,1,71,100
37,38,67,0
31,13,69,0
90,21,60,2400
36,36,64,3400
63,12,69,3400
60,39,51,2000
47,3,80,3400
87,43,69,2900
88,39,54,600
88,30,78,3700
81,23,67,3300
54,28,74,1100
15,49,78,3900
79,4,56,700
14,49,61,100
10,32,67,2000
23,33,73,700
108,1,69,1400
57,37,58,800
33,7,57,3300
45,46,56,3700
56,35,53,3900
79,4,66,1100
80,24,73,2500
11,22,65,1600
43,38,60,1600
76,12,50,2300
54,35,63,1600
63,8,65,1200
44,17,53,900
45,19,67,1200
25,50,80,400
73,5,65,2100
84,15,71,900
30,12,53,3300
29,3,73,1200
88,10,69,4000
31,21,73,900
59,11,62,2400
74,26,57,2800
44,32,77,1800
43,49,70,2100
71,22,72,3700
55,39,69,600
59,42,73,3000
32,49,51,3000
92,12,53,3000
16,18,51,3300
77,18,52,2000
19,39,53,3600
77,24,70,1800
64,39,80,3400
49,19,76,2400
20,4,64,1600
43,18,79,3000
55,29,72,1400
43,45,50,3700
83,21,61,3000
46,44,80,2900
80,36,76,3100
46,26,57,1100
19,31,55,1600
56,41,72,600
21,27,55,3300
81,49,50,3600
106,35,64,1200
62,23,72,1200
62,31,56,2700
100,4,76,1300
90,2,56,1000
86,21,62,200
60,49,76,2600
104,45,69,3900
19,14,52,3500
49,49,54,600
80,10,60,2700
84,31,64,3000
73,17,80,1200
67,43,63,300
46,8,50,3700
65,48,61,1600
46,21,54,3800
38,40,76,1300
32,15,69,2200
58,41,50,2000
105,32,71,3800
70,50,64,3300
37,24,55,200
79,51,56,2200
17,48,74,3500
24,52,79,300
54,18,60,3900
85,15,55,600
37,42,77,600
62,1,60,1400
99,28,73,1700
97,50,54,1000
100,50,63,2800
63,41,63,600
88,51,74,1700
22,44,53,2700
92,23,52,2300
104,43,56,3400
102,40,73,2700
99,51,74,2200
42,38,64,2000
28,31,62,1800
55,32,72,2000
34,1,58,1700
79,20,80,2900
40,39,79,1100
32,7,59,100
102,47,55,2300
104,1,58,0
106,43,63,800
48,39,63,3800
108,38,57,1200
11,8,71,500
63,47,61,3700
43,47,53,1700
78,7,72,1200
20,25,75,1900
96,48,71,1700
49,2,69,1400
33,4,52,2300
23,42,79,2900
91,26,57,1400
86,48,50,2600
105,32,57,3900
106,14,53,2000
98,23,67,1700
95,51,60,2200
85,32,55,2700
57,10,64,200
69,28,75,1500
25,31,75,1200
106,48,69,2300
53,33,61,2300
56,52,77,100
92,16,53,3600
109,9,50,1700
34,29,59,2900
77,29,66,200
85,52,61,3500
42,49,75,800
95,22,63,700
87,21,54,3000
80,5,52,100
70,25,76,0
37,37,57,400
31,11,64,1300
45,14,69,200
44,45,77,3000
11,9,52,200
25,17,69,1100
16,17,57,800
76,9,64,1300
65,51,60,3600
79,52,57,3400
95,44,68,2000
64,16,62,400
92,16,66,2000
85,17,68,3200
52,34,51,2200
88,38,61,300
77,14,67,400
79,20,74,1400
13,40,73,1400
98,36,52,2000
30,8,50,2300
66,43,61,2900
106,25,76,3000
55,19,57,3800
106,18,58,3400
99,44,61,3500
39,19,71,2900
67,23,59,0
49,4,73,2700
46,20,66,3300
40,29,77,300
89,41,54,3500
15,26,61,3800
76,1,67,1900
87,19,75,1600
27,40,62,2900
93,48,66,3700
39,27,55,900
20,45,59,500
109,24,54,100
41,25,66,3500
92,33,56,2900
77,21,62,3000
25,9,54,2800
105,26,74,1700
19,38,69,2300
36,27,56,3800
85,51,69,600
35,28,68,3000
10,50,57,3900
86,5,71,500
79,47,80,3900
73,17,72,1000
88,28,52,300
100,40,52,2400
52,31,77,1000
23,49,51,1700
105,49,55,3800
104,37,67,800
25,5,64,600
22,37,67,3800
25,45,60,3100
75,19,60,300
